passengerid,survived,pclass,sex,age,sibsp,parch,ticket,fare,cabin,embarked_C,embarked_Q,embarked_S
123,0,2,male,32.5,1,0,237736,30.0708,,True,False,False
124,1,2,female,32.5,0,0,27267,13.0,E101,False,False,True
125,0,1,male,54.0,0,1,35281,77.2875,D26,False,False,True
126,1,3,male,12.0,1,0,2651,11.2417,,True,False,False
127,0,3,male,29.69911764705882,0,0,370372,7.75,,False,True,False
128,1,3,male,24.0,0,0,C 17369,7.1417,,False,False,True
129,1,3,female,29.69911764705882,1,1,2668,22.3583,F E69,True,False,False
130,0,3,male,45.0,0,0,347061,6.975,,False,False,True
131,0,3,male,33.0,0,0,349241,7.8958,,True,False,False
132,0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,False,False,True
133,0,3,female,47.0,1,0,A/5. 3337,14.5,,False,False,True
134,1,2,female,29.0,1,0,228414,26.0,,False,False,True
135,0,2,male,25.0,0,0,C.A. 29178,13.0,,False,False,True
136,0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,,True,False,False
137,1,1,female,19.0,0,2,11752,26.2833,D47,False,False,True
138,0,1,male,37.0,1,0,113803,53.1,C123,False,False,True
139,0,3,male,16.0,0,0,7534,9.2167,,False,False,True
140,0,1,male,24.0,0,0,PC 17593,79.2,B86,True,False,False
141,0,3,female,29.69911764705882,0,2,2678,15.2458,,True,False,False
142,1,3,female,22.0,0,0,347081,7.75,,False,False,True
143,1,3,female,24.0,1,0,STON/O2. 3101279,15.85,,False,False,True
144,0,3,male,19.0,0,0,365222,6.75,,False,True,False
145,0,2,male,18.0,0,0,231945,11.5,,False,False,True
146,0,2,male,19.0,1,1,C.A. 33112,36.75,,False,False,True
147,1,3,male,27.0,0,0,350043,7.7958,,False,False,True
148,0,3,female,9.0,2,2,W./C. 6608,34.375,,False,False,True
149,0,2,male,36.5,0,2,230080,26.0,F2,False,False,True
150,0,2,male,42.0,0,0,244310,13.0,,False,False,True
151,0,2,male,51.0,0,0,S.O.P. 1166,12.525,,False,False,True
152,1,1,female,22.0,1,0,113776,66.6,C2,False,False,True
153,0,3,male,55.5,0,0,A.5. 11206,8.05,,False,False,True
154,0,3,male,40.5,0,2,A/5. 851,14.5,,False,False,True
155,0,3,male,29.69911764705882,0,0,Fa 265302,7.3125,,False,False,True
156,0,1,male,51.0,0,1,PC 17597,61.3792,,True,False,False
157,1,3,female,16.0,0,0,35851,7.7333,,False,True,False
158,0,3,male,30.0,0,0,SOTON/OQ 392090,8.05,,False,False,True
159,0,3,male,29.69911764705882,0,0,315037,8.6625,,False,False,True
160,0,3,male,29.69911764705882,8,2,CA. 2343,69.55,,False,False,True
161,0,3,male,44.0,0,1,371362,16.1,,False,False,True
162,1,2,female,40.0,0,0,C.A. 33595,15.75,,False,False,True
163,0,3,male,26.0,0,0,347068,7.775,,False,False,True
164,0,3,male,17.0,0,0,315093,8.6625,,False,False,True
165,0,3,male,1.0,4,1,3101295,39.6875,,False,False,True
166,1,3,male,9.0,0,2,363291,20.525,,False,False,True
167,1,1,female,29.69911764705882,0,1,113505,55.0,E33,False,False,True
168,0,3,female,45.0,1,4,347088,27.9,,False,False,True
169,0,1,male,29.69911764705882,0,0,PC 17318,25.925,,False,False,True
170,0,3,male,28.0,0,0,1601,56.4958,,False,False,True
171,0,1,male,61.0,0,0,111240,33.5,B19,False,False,True
172,0,3,male,4.0,4,1,382652,29.125,,False,True,False
173,1,3,female,1.0,1,1,347742,11.1333,,False,False,True
174,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,,False,False,True
175,0,1,male,56.0,0,0,17764,30.6958,A7,True,False,False
176,0,3,male,18.0,1,1,350404,7.8542,,False,False,True
177,0,3,male,29.69911764705882,3,1,4133,25.4667,,False,False,True
178,0,1,female,50.0,0,0,PC 17595,28.7125,C49,True,False,False
179,0,2,male,30.0,0,0,250653,13.0,,False,False,True
180,0,3,male,36.0,0,0,LINE,0.0,,False,False,True
181,0,3,female,29.69911764705882,8,2,CA. 2343,69.55,,False,False,True
182,0,2,male,29.69911764705882,0,0,SC/PARIS 2131,15.05,,True,False,False
183,0,3,male,9.0,4,2,347077,31.3875,,False,False,True
184,1,2,male,1.0,2,1,230136,39.0,F4,False,False,True
185,1,3,female,4.0,0,2,315153,22.025,,False,False,True
186,0,1,male,29.69911764705882,0,0,113767,50.0,A32,False,False,True
187,1,3,female,29.69911764705882,1,0,370365,15.5,,False,True,False
188,1,1,male,45.0,0,0,111428,26.55,,False,False,True
189,0,3,male,40.0,1,1,364849,15.5,,False,True,False
190,0,3,male,36.0,0,0,349247,7.8958,,False,False,True
191,1,2,female,32.0,0,0,234604,13.0,,False,False,True
192,0,2,male,19.0,0,0,28424,13.0,,False,False,True
193,1,3,female,19.0,1,0,350046,7.8542,,False,False,True
194,1,2,male,3.0,1,1,230080,26.0,F2,False,False,True
195,1,1,female,44.0,0,0,PC 17610,27.7208,B4,True,False,False
196,1,1,female,58.0,0,0,PC 17569,146.5208,B80,True,False,False
197,0,3,male,29.69911764705882,0,0,368703,7.75,,False,True,False
198,0,3,male,42.0,0,1,4579,8.4042,,False,False,True
199,1,3,female,29.69911764705882,0,0,370370,7.75,,False,True,False
200,0,2,female,24.0,0,0,248747,13.0,,False,False,True
201,0,3,male,28.0,0,0,345770,9.5,,False,False,True
202,0,3,male,29.69911764705882,8,2,CA. 2343,69.55,,False,False,True
203,0,3,male,34.0,0,0,3101264,6.4958,,False,False,True
204,0,3,male,45.5,0,0,2628,7.225,,True,False,False
205,1,3,male,18.0,0,0,A/5 3540,8.05,,False,False,True
206,0,3,female,2.0,0,1,347054,10.4625,G6,False,False,True
207,0,3,male,32.0,1,0,3101278,15.85,,False,False,True
208,1,3,male,26.0,0,0,2699,18.7875,,True,False,False
209,1,3,female,16.0,0,0,367231,7.75,,False,True,False
210,1,1,male,40.0,0,0,112277,31.0,A31,True,False,False
211,0,3,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,False,False,True
212,1,2,female,35.0,0,0,F.C.C. 13528,21.0,,False,False,True
213,0,3,male,22.0,0,0,A/5 21174,7.25,,False,False,True
214,0,2,male,30.0,0,0,250646,13.0,,False,False,True
215,0,3,male,29.69911764705882,1,0,367229,7.75,,False,True,False
216,1,1,female,31.0,1,0,35273,113.275,D36,True,False,False
217,1,3,female,27.0,0,0,STON/O2. 3101283,7.925,,False,False,True
218,0,2,male,42.0,1,0,243847,27.0,,False,False,True
219,1,1,female,32.0,0,0,11813,76.2917,D15,True,False,False
220,0,2,male,30.0,0,0,W/C 14208,10.5,,False,False,True
221,1,3,male,16.0,0,0,SOTON/OQ 392089,8.05,,False,False,True
222,0,2,male,27.0,0,0,220367,13.0,,False,False,True
223,0,3,male,51.0,0,0,21440,8.05,,False,False,True
224,0,3,male,29.69911764705882,0,0,349234,7.8958,,False,False,True
225,1,1,male,38.0,1,0,19943,90.0,C93,False,False,True
226,0,3,male,22.0,0,0,PP 4348,9.35,,False,False,True
227,1,2,male,19.0,0,0,SW/PP 751,10.5,,False,False,True
228,0,3,male,20.5,0,0,A/5 21173,7.25,,False,False,True
229,0,2,male,18.0,0,0,236171,13.0,,False,False,True
230,0,3,female,29.69911764705882,3,1,4133,25.4667,,False,False,True
231,1,1,female,35.0,1,0,36973,83.475,C83,False,False,True
232,0,3,male,29.0,0,0,347067,7.775,,False,False,True
233,0,2,male,59.0,0,0,237442,13.5,,False,False,True
234,1,3,female,5.0,4,2,347077,31.3875,,False,False,True
235,0,2,male,24.0,0,0,C.A. 29566,10.5,,False,False,True
236,0,3,female,29.69911764705882,0,0,W./C. 6609,7.55,,False,False,True
237,0,2,male,44.0,1,0,26707,26.0,,False,False,True
238,1,2,female,8.0,0,2,C.A. 31921,26.25,,False,False,True
239,0,2,male,19.0,0,0,28665,10.5,,False,False,True
240,0,2,male,33.0,0,0,SCO/W 1585,12.275,,False,False,True
241,0,3,female,29.69911764705882,1,0,2665,14.4542,,True,False,False
242,1,3,female,29.69911764705882,1,0,367230,15.5,,False,True,False
243,0,2,male,29.0,0,0,W./C. 14263,10.5,,False,False,True
244,0,3,male,22.0,0,0,STON/O 2. 3101275,7.125,,False,False,True
245,0,3,male,30.0,0,0,2694,7.225,,True,False,False
246,0,1,male,44.0,2,0,19928,90.0,C78,False,True,False
247,0,3,female,25.0,0,0,347071,7.775,,False,False,True
248,1,2,female,24.0,0,2,250649,14.5,,False,False,True
249,1,1,male,37.0,1,1,11751,52.5542,D35,False,False,True
250,0,2,male,54.0,1,0,244252,26.0,,False,False,True
251,0,3,male,29.69911764705882,0,0,362316,7.25,,False,False,True
252,0,3,female,29.0,1,1,347054,10.4625,G6,False,False,True
253,0,1,male,62.0,0,0,113514,26.55,C87,False,False,True
254,0,3,male,30.0,1,0,A/5. 3336,16.1,,False,False,True
255,0,3,female,41.0,0,2,370129,20.2125,,False,False,True
256,1,3,female,29.0,0,2,2650,15.2458,,True,False,False
257,1,1,female,29.69911764705882,0,0,PC 17585,79.2,,True,False,False
258,1,1,female,30.0,0,0,110152,86.5,B77,False,False,True
259,1,1,female,35.0,0,0,PC 17755,512.3292,,True,False,False
260,1,2,female,50.0,0,1,230433,26.0,,False,False,True
261,0,3,male,29.69911764705882,0,0,384461,7.75,,False,True,False
262,1,3,male,3.0,4,2,347077,31.3875,,False,False,True
263,0,1,male,52.0,1,1,110413,79.65,E67,False,False,True
264,0,1,male,40.0,0,0,112059,0.0,B94,False,False,True
265,0,3,female,29.69911764705882,0,0,382649,7.75,,False,True,False
266,0,2,male,36.0,0,0,C.A. 17248,10.5,,False,False,True
267,0,3,male,16.0,4,1,3101295,39.6875,,False,False,True
268,1,3,male,25.0,1,0,347083,7.775,,False,False,True
269,1,1,female,58.0,0,1,PC 17582,153.4625,C125,False,False,True
270,1,1,female,35.0,0,0,PC 17760,135.6333,C99,False,False,True
271,0,1,male,29.69911764705882,0,0,113798,31.0,,False,False,True
272,1,3,male,25.0,0,0,LINE,0.0,,False,False,True
273,1,2,female,41.0,0,1,250644,19.5,,False,False,True
274,0,1,male,37.0,0,1,PC 17596,29.7,C118,True,False,False
275,1,3,female,29.69911764705882,0,0,370375,7.75,,False,True,False
276,1,1,female,63.0,1,0,13502,77.9583,D7,False,False,True
277,0,3,female,45.0,0,0,347073,7.75,,False,False,True
278,0,2,male,29.69911764705882,0,0,239853,0.0,,False,False,True
279,0,3,male,7.0,4,1,382652,29.125,,False,True,False
280,1,3,female,35.0,1,1,C.A. 2673,20.25,,False,False,True
281,0,3,male,65.0,0,0,336439,7.75,,False,True,False
282,0,3,male,28.0,0,0,347464,7.8542,,False,False,True
283,0,3,male,16.0,0,0,345778,9.5,,False,False,True
284,1,3,male,19.0,0,0,A/5. 10482,8.05,,False,False,True
285,0,1,male,29.69911764705882,0,0,113056,26.0,A19,False,False,True
286,0,3,male,33.0,0,0,349239,8.6625,,True,False,False
287,1,3,male,30.0,0,0,345774,9.5,,False,False,True
288,0,3,male,22.0,0,0,349206,7.8958,,False,False,True
289,1,2,male,42.0,0,0,237798,13.0,,False,False,True
290,1,3,female,22.0,0,0,370373,7.75,,False,True,False
291,1,1,female,26.0,0,0,19877,78.85,,False,False,True
292,1,1,female,19.0,1,0,11967,91.0792,B49,True,False,False
293,0,2,male,36.0,0,0,SC/Paris 2163,12.875,D,True,False,False
294,0,3,female,24.0,0,0,349236,8.85,,False,False,True
295,0,3,male,24.0,0,0,349233,7.8958,,False,False,True
296,0,1,male,29.69911764705882,0,0,PC 17612,27.7208,,True,False,False
297,0,3,male,23.5,0,0,2693,7.2292,,True,False,False
298,0,1,female,2.0,1,2,113781,151.55,C22 C26,False,False,True
299,1,1,male,29.69911764705882,0,0,19988,30.5,C106,False,False,True
300,1,1,female,50.0,0,1,PC 17558,247.5208,B58 B60,True,False,False
301,1,3,female,29.69911764705882,0,0,9234,7.75,,False,True,False
302,1,3,male,29.69911764705882,2,0,367226,23.25,,False,True,False
303,0,3,male,19.0,0,0,LINE,0.0,,False,False,True
304,1,2,female,29.69911764705882,0,0,226593,12.35,E101,False,True,False
305,0,3,male,29.69911764705882,0,0,A/5 2466,8.05,,False,False,True
306,1,1,male,0.92,1,2,113781,151.55,C22 C26,False,False,True
307,1,1,female,29.69911764705882,0,0,17421,110.8833,,True,False,False
308,1,1,female,17.0,1,0,PC 17758,108.9,C65,True,False,False
309,0,2,male,30.0,1,0,P/PP 3381,24.0,,True,False,False
310,1,1,female,30.0,0,0,PC 17485,56.9292,E36,True,False,False
311,1,1,female,24.0,0,0,11767,83.1583,C54,True,False,False
312,1,1,female,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,True,False,False
313,0,2,female,26.0,1,1,250651,26.0,,False,False,True
314,0,3,male,28.0,0,0,349243,7.8958,,False,False,True
315,0,2,male,43.0,1,1,F.C.C. 13529,26.25,,False,False,True
316,1,3,female,26.0,0,0,347470,7.8542,,False,False,True
317,1,2,female,24.0,1,0,244367,26.0,,False,False,True
318,0,2,male,54.0,0,0,29011,14.0,,False,False,True
319,1,1,female,31.0,0,2,36928,164.8667,C7,False,False,True
320,1,1,female,40.0,1,1,16966,134.5,E34,True,False,False
321,0,3,male,22.0,0,0,A/5 21172,7.25,,False,False,True
322,0,3,male,27.0,0,0,349219,7.8958,,False,False,True
323,1,2,female,30.0,0,0,234818,12.35,,False,True,False
324,1,2,female,22.0,1,1,248738,29.0,,False,False,True
325,0,3,male,29.69911764705882,8,2,CA. 2343,69.55,,False,False,True
326,1,1,female,36.0,0,0,PC 17760,135.6333,C32,True,False,False
327,0,3,male,61.0,0,0,345364,6.2375,,False,False,True
328,1,2,female,36.0,0,0,28551,13.0,D,False,False,True
329,1,3,female,31.0,1,1,363291,20.525,,False,False,True
330,1,1,female,16.0,0,1,111361,57.9792,B18,True,False,False
331,1,3,female,29.69911764705882,2,0,367226,23.25,,False,True,False
332,0,1,male,45.5,0,0,113043,28.5,C124,False,False,True
333,0,1,male,38.0,0,1,PC 17582,153.4625,C91,False,False,True
334,0,3,male,16.0,2,0,345764,18.0,,False,False,True
335,1,1,female,29.69911764705882,1,0,PC 17611,133.65,,False,False,True
336,0,3,male,29.69911764705882,0,0,349225,7.8958,,False,False,True
337,0,1,male,29.0,1,0,113776,66.6,C2,False,False,True
338,1,1,female,41.0,0,0,16966,134.5,E40,True,False,False
339,1,3,male,45.0,0,0,7598,8.05,,False,False,True
340,0,1,male,45.0,0,0,113784,35.5,T,False,False,True
341,1,2,male,2.0,1,1,230080,26.0,F2,False,False,True
342,1,1,female,24.0,3,2,19950,263.0,C23 C25 C27,False,False,True
343,0,2,male,28.0,0,0,248740,13.0,,False,False,True
344,0,2,male,25.0,0,0,244361,13.0,,False,False,True
345,0,2,male,36.0,0,0,229236,13.0,,False,False,True
346,1,2,female,24.0,0,0,248733,13.0,F33,False,False,True
347,1,2,female,40.0,0,0,31418,13.0,,False,False,True
348,1,3,female,29.69911764705882,1,0,386525,16.1,,False,False,True
349,1,3,male,3.0,1,1,C.A. 37671,15.9,,False,False,True
350,0,3,male,42.0,0,0,315088,8.6625,,False,False,True
351,0,3,male,23.0,0,0,7267,9.225,,False,False,True
352,0,1,male,29.69911764705882,0,0,113510,35.0,C128,False,False,True
353,0,3,male,15.0,1,1,2695,7.2292,,True,False,False
354,0,3,male,25.0,1,0,349237,17.8,,False,False,True
355,0,3,male,29.69911764705882,0,0,2647,7.225,,True,False,False
356,0,3,male,28.0,0,0,345783,9.5,,False,False,True
357,1,1,female,22.0,0,1,113505,55.0,E33,False,False,True
358,0,2,female,38.0,0,0,237671,13.0,,False,False,True
359,1,3,female,29.69911764705882,0,0,330931,7.8792,,False,True,False
360,1,3,female,29.69911764705882,0,0,330980,7.8792,,False,True,False
361,0,3,male,40.0,1,4,347088,27.9,,False,False,True
362,0,2,male,29.0,1,0,SC/PARIS 2167,27.7208,,True,False,False
363,0,3,female,45.0,0,1,2691,14.4542,,True,False,False
364,0,3,male,35.0,0,0,SOTON/O.Q. 3101310,7.05,,False,False,True
365,0,3,male,29.69911764705882,1,0,370365,15.5,,False,True,False
366,0,3,male,30.0,0,0,C 7076,7.25,,False,False,True
367,1,1,female,60.0,1,0,110813,75.25,D37,True,False,False
368,1,3,female,29.69911764705882,0,0,2626,7.2292,,True,False,False
369,1,3,female,29.69911764705882,0,0,14313,7.75,,False,True,False
370,1,1,female,24.0,0,0,PC 17477,69.3,B35,True,False,False
371,1,1,male,25.0,1,0,11765,55.4417,E50,True,False,False
372,0,3,male,18.0,1,0,3101267,6.4958,,False,False,True
373,0,3,male,19.0,0,0,323951,8.05,,False,False,True
374,0,1,male,22.0,0,0,PC 17760,135.6333,,True,False,False
375,0,3,female,3.0,3,1,349909,21.075,,False,False,True
376,1,1,female,29.69911764705882,1,0,PC 17604,82.1708,,True,False,False
377,1,3,female,22.0,0,0,C 7077,7.25,,False,False,True
378,0,1,male,27.0,0,2,113503,211.5,C82,True,False,False
379,0,3,male,20.0,0,0,2648,4.0125,,True,False,False
380,0,3,male,19.0,0,0,347069,7.775,,False,False,True
381,1,1,female,42.0,0,0,PC 17757,227.525,,True,False,False
382,1,3,female,1.0,0,2,2653,15.7417,,True,False,False
383,0,3,male,32.0,0,0,STON/O 2. 3101293,7.925,,False,False,True
384,1,1,female,35.0,1,0,113789,52.0,,False,False,True
385,0,3,male,29.69911764705882,0,0,349227,7.8958,,False,False,True
386,0,2,male,18.0,0,0,S.O.C. 14879,73.5,,False,False,True
387,0,3,male,1.0,5,2,CA 2144,46.9,,False,False,True
388,1,2,female,36.0,0,0,27849,13.0,,False,False,True
389,0,3,male,29.69911764705882,0,0,367655,7.7292,,False,True,False
390,1,2,female,17.0,0,0,SC 1748,12.0,,True,False,False
391,1,1,male,36.0,1,2,113760,120.0,B96 B98,False,False,True
392,1,3,male,21.0,0,0,350034,7.7958,,False,False,True
393,0,3,male,28.0,2,0,3101277,7.925,,False,False,True
394,1,1,female,23.0,1,0,35273,113.275,D36,True,False,False
395,1,3,female,24.0,0,2,PP 9549,16.7,G6,False,False,True
396,0,3,male,22.0,0,0,350052,7.7958,,False,False,True
397,0,3,female,31.0,0,0,350407,7.8542,,False,False,True
398,0,2,male,46.0,0,0,28403,26.0,,False,False,True
399,0,2,male,23.0,0,0,244278,10.5,,False,False,True
400,1,2,female,28.0,0,0,240929,12.65,,False,False,True
401,1,3,male,39.0,0,0,STON/O 2. 3101289,7.925,,False,False,True
402,0,3,male,26.0,0,0,341826,8.05,,False,False,True
403,0,3,female,21.0,1,0,4137,9.825,,False,False,True
404,0,3,male,28.0,1,0,STON/O2. 3101279,15.85,,False,False,True
405,0,3,female,20.0,0,0,315096,8.6625,,False,False,True
406,0,2,male,34.0,1,0,28664,21.0,,False,False,True
407,0,3,male,51.0,0,0,347064,7.75,,False,False,True
408,1,2,male,3.0,1,1,29106,18.75,,False,False,True
409,0,3,male,21.0,0,0,312992,7.775,,False,False,True
410,0,3,female,29.69911764705882,3,1,4133,25.4667,,False,False,True
411,0,3,male,29.69911764705882,0,0,349222,7.8958,,False,False,True
412,0,3,male,29.69911764705882,0,0,394140,6.8583,,False,True,False
413,1,1,female,33.0,1,0,19928,90.0,C78,False,True,False
414,0,2,male,29.69911764705882,0,0,239853,0.0,,False,False,True
415,1,3,male,44.0,0,0,STON/O 2. 3101269,7.925,,False,False,True
416,0,3,female,29.69911764705882,0,0,343095,8.05,,False,False,True
417,1,2,female,34.0,1,1,28220,32.5,,False,False,True
418,1,2,female,18.0,0,2,250652,13.0,,False,False,True
419,0,2,male,30.0,0,0,28228,13.0,,False,False,True
420,0,3,female,10.0,0,2,345773,24.15,,False,False,True
